assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerTeamsPlayedFor,playerWeight,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame
23,0.279,2,74,27,0,42,Smithtown,USA,1991-02-01,NY,26,1,2009,Kyle,71,8475151,0,1,Palmieri,Kyle Palmieri,USA,R,R,NJD,185,-9,50,0.6756,11,18,20182019,0,0,21.3513,0.1205,224,1089.3108
39,0.5147,5,77,35,1,18,Praha,CZE,1993-11-12,,17,1,2012,Tomas,74,8476881,0,1,Hertl,Tomas Hertl,CZE,C,L,SJS,215,5,74,0.961,11,15,20182019,1,2,23.8181,0.1988,176,1141.1818
33,0.2647,5,74,28,0,26,Minneapolis,USA,1984-07-28,MN,17,1,2003,Zach,71,8470610,0,1,Parise,Zach Parise,USA,L,L,MIN,193,-2,61,0.8243,10,16,20182019,0,2,22.5,0.1222,229,1120.0945
41,0.5445,8,82,47,1,34,Mississauga,CAN,1990-09-20,ON,1,1,2009,John,73,8475166,0,1,Tavares,John Tavares,CAN,C,L,TOR,209,19,88,1.0731,10,19,20182019,0,0,24.0121,0.1643,286,1145.3536
38,0.4098,7,71,28,1,12,Sundsvall,SWE,1998-11-12,,5,1,2017,Elias,74,8480012,0,1,Pettersson,Elias Pettersson,SWE,C,L,VAN,176,3,66,0.9295,10,22,20182019,0,0,22.507,0.1944,144,1093.5774
64,0.4285,9,79,36,3,96,Halifax,CAN,1988-05-11,NS,71,3,2006,Brad,69,8473419,0,1,Marchand,Brad Marchand,CAN,L,L,BOS,181,15,100,1.2658,10,34,20182019,3,7,23.0506,0.1558,231,1177.4177
41,0.5201,9,73,34,0,51,Stockholm,SWE,1992-11-23,,2,1,2011,Gabriel,73,8476455,0,1,Landeskog,Gabriel Landeskog,SWE,L,L,COL,215,17,75,1.0273,10,27,20182019,0,0,23.4383,0.1399,243,1268.9178
23,0.4838,5,82,28,0,58,Edina,USA,1990-07-03,MN,151,6,2009,Anders,75,8475314,0,1,Lee,Anders Lee,USA,L,L,NYI,231,20,51,0.6219,10,16,20182019,0,0,20.2926,0.1372,204,1025.2682
47,0.5658,3,65,32,1,30,Ancienne-Lorette,CAN,1985-07-24,QC,45,2,2003,Patrice,73,8470638,0,1,Bergeron,Patrice Bergeron,CAN,C,R,BOS,195,23,79,1.2153,9,27,20182019,4,7,23.2307,0.156,205,1108.0307
22,0.4574,4,72,19,1,34,Milwaukee,USA,1994-02-12,WI,3,1,2012,Alex,73,8476851,0,1,Galchenyuk,Alex Galchenyuk,USA,C,L,ARI,207,-19,41,0.5694,9,21,20182019,0,0,20.625,0.1194,159,943.8611
47,0.5386,8,82,33,2,18,Brampton,CAN,1992-01-31,ON,2,1,2010,Tyler,73,8475794,0,1,Seguin,Tyler Seguin,CAN,C,R,DAL,200,17,80,0.9756,9,27,20182019,0,0,27.7804,0.0988,334,1244.9024
51,0.4568,5,68,21,0,89,Magnitogorsk,RUS,1986-07-31,,2,1,2004,Evgeni,75,8471215,0,1,Malkin,Evgeni Malkin,RUS,C,L,PIT,195,-25,72,1.0588,9,26,20182019,0,0,22.8529,0.1122,187,1128.2352
51,0.5432,5,81,27,0,20,Boden,SWE,1994-12-02,,5,1,2013,Elias,73,8477496,0,1,Lindholm,Elias Lindholm,SWE,C,R,CGY,195,30,78,0.9629,9,26,20182019,1,4,25.4567,0.1483,182,1202.3086
46,0.5632,5,82,35,2,40,Winnipeg,CAN,1988-04-29,MB,3,1,2006,Jonathan,74,8473604,0,1,Toews,Jonathan Toews,CAN,C,L,CHI,201,2,81,0.9878,9,23,20182019,1,1,25.4878,0.1489,235,1260.4146
66,0.2,7,81,44,3,22,Buffalo,USA,1988-11-19,NY,1,1,2007,Patrick,70,8474141,0,1,Kane,Patrick Kane,USA,R,L,CHI,177,2,110,1.358,9,30,20182019,0,0,23.6049,0.129,341,1349.3456
29,0.0588,3,72,22,2,24,Ithaca,USA,1984-11-04,NY,13,1,2003,Dustin,72,8470606,0,1,Brown,Dustin Brown,USA,R,R,LAK,210,-17,51,0.7083,9,12,20182019,1,2,25.3194,0.1222,180,1224.3611
75,0.4662,9,78,41,3,20,Richmond Hill,CAN,1997-01-13,ON,1,1,2015,Connor,73,8478402,0,1,McDavid,Connor McDavid,CAN,C,L,EDM,193,3,116,1.4871,9,33,20182019,1,2,25.6153,0.1708,240,1370.2307
30,0.3801,5,82,23,0,44,Cobourg,CAN,1981-10-04,ON,28,1,2000,Justin,73,8468508,0,1,Williams,Justin Williams,CAN,R,R,CAR,184,-4,53,0.6463,9,14,20182019,0,0,22.1219,0.097,237,1046.5609
51,0.387,3,76,21,2,50,Chelyabinsk,RUS,1992-05-19,,26,1,2010,Evgeny,74,8475744,0,1,Kuznetsov,Evgeny Kuznetsov,RUS,C,L,WSH,204,7,72,0.9473,8,23,20182019,0,0,19.8421,0.1088,193,1127.4473
21,0.5454,4,66,27,0,18,Middletown,USA,1989-05-04,NJ,2,1,2007,James,75,8474037,0,1,van Riemsdyk,James van Riemsdyk,USA,L,L,PHI,217,-10,48,0.7272,8,13,20182019,0,0,20.3333,0.1616,167,996.2121
41,0.4511,3,82,28,0,26,Burnaby,CAN,1993-04-12,BC,1,1,2011,Ryan,72,8476454,0,1,Nugent-Hopkins,Ryan Nugent-Hopkins,CAN,C,L,EDM,184,-13,69,0.8414,8,26,20182019,1,3,24.3536,0.1346,208,1206.1341
15,0.2105,4,68,27,0,18,Edmonton,CAN,1996-10-17,AB,14,1,2015,Jake,72,8478498,0,1,DeBrusk,Jake DeBrusk,CAN,L,L,BOS,188,2,42,0.6176,8,11,20182019,0,0,19.397,0.173,156,969.7058
