blockedShots,giveaways,playerName,takeaways,hits
48,8,Gabriel Bourque,11,100
48,50,Brendan Smith,32,100
29,67,Filip Forsberg,69,100
115,77,Erik Gustafsson,34,100
40,38,Timo Meier,49,99
121,74,Brandon Montour,31,99
16,9,J.T. Brown,16,99
67,26,Carl Soderberg,49,99
56,40,Jonathan Ericsson,9,98
28,12,Frederik Gauthier,12,98
35,37,Kyle Palmieri,36,98
22,68,Jonathan Marchessault,51,98
161,66,Ryan McDonagh,46,98
37,22,Nic Dowd,29,97
66,79,Rasmus Dahlin,38,97
99,63,Tyler Myers,32,97
93,50,Mikhail Sergachev,18,97
27,33,Miles Wood,19,97
116,42,Olli Maatta,16,97
23,9,John Hayden,15,97
62,22,Braydon Coburn,17,96
29,20,Michael Raffl,28,96
23,66,Ryan Johansen,43,95
72,20,Robert Bortuzzo,11,95
60,53,Phillip Danault,49,95
21,9,Stefan Noesen,17,95
119,68,Marc Staal,28,94
49,15,Anthony Cirelli,47,94
20,39,Nino Niederreiter,51,94
64,22,Devin Shore,29,94
27,16,Tyler Pitlick,11,93
56,26,Ryan Kesler,18,93
185,71,Kris Russell,21,93
12,11,Sammy Blais,11,93
40,51,Alex Tuch,69,92
46,17,Kyle Brodziak,33,92
19,38,Kasperi Kapanen,44,92
29,14,Derek Grant,19,92
91,54,Charlie McAvoy,30,92
96,32,Troy Stecher,42,91
74,38,Oscar Fantenberg,12,91
145,23,Jared Spurgeon,30,91
144,74,Ron Hainsey,31,91
105,118,Brent Burns,88,90
58,24,Colton Sceviour,18,89
19,33,Dominik Simon,33,89
69,60,Ben Harpur,16,89
25,8,Ryan Callahan,22,89
71,37,Dmitry Kulikov,19,88
40,31,Vladimir Tarasenko,34,88
35,34,Cody Eakin,51,88
21,10,Dale Weise,9,88
29,21,Marcus Sorensen,33,88
23,22,Alex Killorn,30,88
35,30,Anthony Beauvillier,34,87
44,23,Nate Thompson,31,87
83,87,Noah Hanifin,50,87
54,19,Alex Iafallo,26,87
50,20,Antoine Roussel,20,87
30,14,Vladimir Sobotka,12,87
36,23,Roope Hintz,33,87
38,31,Jason Zucker,47,87
27,27,Kyle Okposo,17,87
14,6,Dmitrij Jaskin,13,87
21,24,Adrian Kempe,20,86
52,19,Joakim Nordstrom,26,86
31,14,Ivan Barbashev,36,86
38,16,Juuso Riikola,13,86
31,27,Alex Chiasson,28,85
15,18,Chris Kunitz,13,85
43,67,Sidney Crosby,54,85
13,47,Nazem Kadri,42,85
28,29,Michael Rasmussen,12,84
96,59,Niklas Kronwall,12,84
135,47,Michal Kempny,21,84
87,61,Damon Severson,25,83
30,40,Yanni Gourde,50,83
116,46,Zach Bogosian,17,83
9,7,Andreas Martinsen,3,83
38,60,Rickard Rakell,41,82
39,32,Lucas Wallmark,33,82
105,61,Nick Jensen,27,82
39,46,Elias Lindholm,50,82
88,44,Zdeno Chara,28,81
53,33,Blake Wheeler,42,81
133,85,Hampus Lindholm,23,81
31,17,Josh Brown,12,80
61,23,Markus Nutivaara,25,80
36,13,Anthony Bitetto,6,80
30,40,Jeff Carter,23,80
37,13,Matt Irwin,8,80
43,9,Steven Santini,9,80
38,100,Dylan Larkin,69,80
44,35,Frans Nielsen,18,79
154,59,Alex Goligoski,19,79
34,42,Jimmy Vesey,50,79
19,23,Kiefer Sherwood,17,79
94,30,Danny DeKeyser,14,79
135,70,Alec Martinez,12,78
36,9,Devante Smith-Pelly,7,78
71,26,Adam Henrique,39,78
8,4,Kurtis Gabriel,2,78
109,30,Ryan Suter,25,78
116,18,Nick Seeler,5,78
49,48,Bobby Ryan,50,77
33,39,Craig Smith,43,77
56,43,Charlie Coyle,42,77
51,44,Jared McCann,35,77
89,63,Nick Leddy,18,77
51,39,Dustin Byfuglien,21,77
76,24,John Moore,10,77
30,44,Tomas Tatar,52,77
22,9,Kevin Rooney,15,77
39,43,Tyler Bertuzzi,34,76
36,53,Ryan Strome,37,76
71,39,Derrick Pouliot,19,76
33,31,Fredrik Claesson,9,76
118,38,Ben Lovejoy,23,76
16,15,Micheal Haley,3,76
23,14,Tomas Nosek,32,75
61,35,Mirco Mueller,22,75
77,38,Jakob Chychrun,20,74
47,55,Tyler Seguin,47,74
41,22,Patrick Marleau,31,74
9,14,Charles Hudon,9,73
18,12,Colby Cave,22,73
104,55,Kevin Shattenkirk,39,73
81,18,Scott Harrington,9,73
79,20,Kevan Miller,18,73
26,26,Nolan Patrick,40,72
40,60,Steven Stamkos,28,72
29,11,Jacob de la Rose,17,72
44,23,Riley Sheahan,49,72
63,34,Madison Bowey,9,72
43,13,Riley Nash,39,72
20,5,Miikka Salomaki,6,72
71,62,Mark Stone,122,72
154,61,Ryan Ellis,54,71
112,72,Thomas Chabot,31,71
72,26,Jon Merrill,16,71
51,23,Pierre-Edouard Bellemare,38,71
34,27,Andrew Copp,22,71
32,30,Valeri Nichushkin,24,71
133,60,Jaccob Slavin,86,70
51,76,Jack Eichel,38,70
44,48,Patrik Laine,28,70
39,15,Christoffer Ehn,10,70
61,45,Joe Pavelski,41,69
20,8,Lukas Sedlak,6,69
40,56,Ryan Nugent-Hopkins,59,69
47,63,Lars Eller,59,69
41,34,Vinnie Hinostroza,28,69
44,12,Tobias Rieder,35,69
77,36,Sami Vatanen,16,68
32,32,Andrew Cogliano,22,68
107,69,Mattias Ekholm,32,68
52,28,Oskar Lindblom,26,68
24,31,Pavel Zacha,28,68
34,15,Luke Kunin,12,67
39,19,Melker Karlsson,30,67
208,45,Andy Greene,40,67
23,60,Anthony Mantha,37,67
27,20,Luke Witkowski,3,67
89,46,Zach Werenski,40,67
34,21,Radim Simek,14,67
16,51,Kevin Labanc,22,66
18,8,Tim Schaller,14,66
41,50,Jesperi Kotkaniemi,32,66
32,47,Filip Hronek,10,66
9,32,Tage Thompson,24,66
38,33,Travis Zajac,63,66
20,7,Sheldon Dries,7,66
9,8,Dryden Hunt,10,65
90,44,Samuel Girard,25,65
45,49,Travis Konecny,38,65
52,36,Logan Couture,71,65
67,16,Magnus Paajarvi,18,65
34,64,Sebastian Aho,81,65
