blockedShots,giveaways,playerName,takeaways,hits
1,2,Cameron Gaunce,2,4
1,3,C.J. Smith,2,4
7,0,Andrej Sustr,0,3
3,0,Dominic Turgeon,1,3
0,0,Mark Letestu,0,3
4,0,Brian Lashoff,0,3
6,1,Dante Fabbro,2,3
5,3,Cameron Schilling,0,3
3,4,Paul Carey,3,3
7,7,Guillaume Brisebois,2,3
2,0,Nico Sturm,0,3
28,10,Loui Eriksson,29,3
1,1,Kevin Stenlund,3,3
13,3,John Gilmour,1,3
1,6,Erik Condra,0,3
2,7,Martin Necas,3,3
1,0,Kerby Rychel,0,3
0,2,Jakub Zboril,0,3
10,7,Dylan Sikura,23,3
1,1,Stefan Elliott,0,2
1,3,Ben Gleason,4,2
2,0,Kyle Capobianco,0,2
1,3,Josh Jacobs,0,2
1,0,Brady Keeper,0,2
4,3,Nic Petan,4,2
3,3,Victor Olofsson,1,2
3,3,Jordan Kyrou,3,2
2,1,Colton White,0,2
1,2,Alexandre Texier,0,2
0,1,Lee Stempniak,3,2
0,0,Justin Kloos,1,2
4,0,Louie Belpedio,0,1
0,0,Ryan Poehling,0,1
0,0,Mark Friedman,0,1
1,0,Matt Bartkowski,0,1
1,2,Quinn Hughes,3,1
2,4,Calle Rosen,0,1
1,2,Kristian Vesalainen,0,1
1,0,Anton Lindholm,0,1
0,0,Jake Bean,1,1
1,2,Jacob MacDonald,0,1
3,0,Ryan Murphy,1,1
1,0,Tomas Plekanec,0,1
4,2,Filip Chlapik,2,1
9,7,Taro Hirose,5,1
1,0,Trevor Carrick,0,1
2,1,Jacob Middleton,1,1
0,0,Chris Thorburn,0,1
1,4,Alexander Nylander,1,1
1,4,Erik Brannstrom,1,1
0,0,Reid Boucher,0,1
0,0,Chase De Leo,0,1
3,0,Adam Clendening,2,1
0,1,Zach Senyshyn,0,1
1,1,Jacob Nilsson,1,1
1,4,Sheldon Rempal,0,0
3,6,Joshua Ho-Sang,3,0
2,0,Mark Alt,0,0
3,0,Matt Donovan,0,0
1,0,Jakub Jerabek,0,0
1,0,Curtis Lazar,0,0
0,1,Urho Vaakanainen,0,0
1,0,Logan Brown,1,0
2,1,Brogan Rafferty,1,0
5,3,Max Veronneau,1,0
2,2,Kevin Roy,1,0
1,0,Blake Lizotte,1,0
0,0,Derek MacKenzie,0,0
0,0,Anthony Greco,0,0
1,0,Laurent Dauphin,0,0
1,0,Nelson Nogier,0,0
0,0,Dakota Mermis,0,0
1,1,Dominic Toninato,0,0
1,1,Jimmy Schuldt,0,0
0,0,Cooper Marody,5,0
0,0,Rem Pitlick,0,0
1,2,Vitaly Abramov,4,0
0,0,Danny O'Regan,0,0
1,0,Anthony Richard,0,0
1,2,Brandon Gignac,0,0
0,0,Gabriel Carlsson,1,0
3,1,Janne Kuokkanen,2,0
0,0,Zac Dalpe,0,0
0,1,Cory Conacher,0,0
